P1;P7;P9;P10;P15;P17;P18;P18A;P19;P19A;P20;P21;P22;P24;P25;P26;P27;P28;P29;P32;P42;P43;P44;P46;P47;P52;P53;P55;P59;P60;P64
1;1;1;0;0;0;39;0;12;0;3;4;2;0;5;4;11;7;6;44;40;71;63;5;1;0;0;0;99;994;99
2;1;1;0;0;0;35;0;9;0;1;1;3;0;7;1;5;3;3;39;40;57;64;13;16;0;0;0;99;4;6
0;0;0;1;1;1;47;0;2;0;1;1;3;0;1;6;6;1;1;21;48;87;53;5;2;0;0;0;99;994;99
0;0;0;1;1;1;50;0;36;0;7;3;2;0;9;1;17;4;3;41;55;90;68;4;23;0;0;0;99;994;99
3;1;1;0;0;0;40;0;12;0;4;1;2;0;12;6;24;7;6;50;49;86;64;15;802;13;5;0;99;7;99
0;0;0;2;1;1;40;0;0;0;1;3;5;0;0;0;23;0;0;38;38;62;56;12;26;7;6;0;3;15;99
0;0;0;2;1;1;41;0;15;0;4;4;2;0;2;6;39;6;6;39;38;64;55;7;31;0;0;2;99;9;99
2;1;1;0;0;0;39;0;0;0;4;4;2;0;0;0;11;0;0;43;37;65;49;0;0;21;18;0;3;1;99
0;0;0;3;1;1;44;0;0;0;4;8;5;0;0;0;47;0;0;35;45;72;57;7;33;3;5;0;12;13;99
7;1;1;0;0;0;41;0;36;0;6;8;5;0;9;1;26;4;3;39;47;75;54;7;6;1;1;0;1;1;99
5;1;1;0;0;0;38;0;0;0;1;4;5;0;0;0;55;0;0;44;49;61;52;7;7;14;5;0;99;14;99
0;0;0;1;2;4;34;0;0;0;4;10;5;0;0;0;16;0;0;32;36;64;69;0;0;0;0;0;3;15;99
0;0;0;10;1;1;35;0;0;0;1;3;3;0;0;0;32;0;0;34;50;76;55;7;8;20;5;0;14;15;5
1;1;1;0;0;0;34;0;8;0;5;3;1;2;1;6;1;16;800;40;50;76;55;0;0;6;16;0;2;16;3
5;2;3;0;0;0;36;0;0;0;1;5;3;0;0;0;10007;2;0;28;38;64;53;16;133;0;0;0;11;1;99
3;1;2;0;0;0;26;0;0;0;1;8;3;0;0;0;10;0;0;10;42;56;46;0;0;7;15;0;10;7;1
0;0;0;1;1;1;37;0;23;0;5;5;3;0;9;6;26;992;992;32;43;82;65;7;33;20;1;3;4;1;99
0;0;0;7;1;2;39;0;0;0;1;3;3;0;0;0;14;0;0;35;37;69;47;18;61;3;9;0;28;19;99
4;1;2;0;0;0;41;0;0;0;1;7;3;0;0;0;50;0;0;39;44;73;55;25;858;0;0;0;43;19;99
5;3;0;0;0;0;42;44;0;9;1;11;2;0;3;1;27;6;5;38;42;74;48;10;42;8;821;27;13;14;99
3;1;4;0;0;0;39;0;36;0;5;6;4;0;10;6;18;1;1;30;37;73;57;0;0;1;3;21;22;9;99
7;1;2;0;0;0;23;0;9;0;5;4;3;0;1;1;9;1;1;50;55;72;57;0;0;0;0;0;10;3;99
0;0;0;5;3;0;44;48;0;9;1;8;1;1;8;1;7;1;1;38;38;76;51;7;14;0;0;0;2;7;99
0;0;0;2;1;1;44;0;13;0;1;1;6;0;6;6;14;3;2;40;47;63;61;7;824;0;0;0;3;1;99
0;0;0;2;1;1;37;0;3;0;4;4;2;0;1;3;39;1;1;39;40;69;60;0;0;0;0;0;2;1;99
0;0;0;2;1;1;32;0;36;0;3;4;5;0;1;1;19;1;1;36;38;71;46;7;800;0;0;0;12;1;99
3;1;1;0;0;0;42;0;0;0;6;8;5;0;0;0;26;0;0;39;37;62;52;7;34;3;6;0;47;10;99
